"room_type";"price";"review_scores_rating";"Wifi";"TV"
"Entire home/apt";113;;"Non";"Non"
"Private room";90;4,77;"Non";"Oui"
"Hotel room";365;4;"Non";"Non"
"Entire home/apt";70;4,88;"Non";"Oui"
"Entire home/apt";147;4,59;"Non";"Oui"
"Entire home/apt";345;4,69;"Non";"Oui"
"Entire home/apt";30;5;"Non";"Non"
"Entire home/apt";130;5;"Non";"Oui"
"Entire home/apt";47;5;"Non";"Oui"
"Entire home/apt";80;4,5;"Non";"Oui"
"Entire home/apt";137;5;"Non";"Non"
"Entire home/apt";40;4,69;"Non";"Non"
"Entire home/apt";77;4,87;"Non";"Non"
"Entire home/apt";60;4,93;"Non";"Oui"
"Entire home/apt";95;5;"Non";"Non"
"Entire home/apt";85;;"Non";"Non"
"Private room";100;5;"Non";"Oui"
"Entire home/apt";65;;"Non";"Non"
"Entire home/apt";75;4;"Non";"Oui"
"Entire home/apt";100;4,13;"Non";"Oui"
"Entire home/apt";105;;"Non";"Non"
"Entire home/apt";75;4,53;"Non";"Non"
"Entire home/apt";175;5;"Non";"Non"
"Entire home/apt";81;5;"Non";"Oui"
"Entire home/apt";55;5;"Non";"Oui"
"Entire home/apt";175;;"Non";"Non"
"Entire home/apt";55;4,86;"Non";"Non"
"Entire home/apt";52;4,5;"Non";"Non"
"Entire home/apt";165;4,85;"Non";"Non"
"Entire home/apt";275;5;"Non";"Non"
"Entire home/apt";250;4,75;"Non";"Non"
"Private room";30;4,27;"Non";"Oui"
"Entire home/apt";127;4,92;"Non";"Non"
"Entire home/apt";300;4,71;"Non";"Oui"
"Entire home/apt";65;4,75;"Non";"Non"
"Private room";50;4,95;"Non";"Oui"
"Entire home/apt";210;4,94;"Non";"Oui"
"Entire home/apt";200;;"Non";"Oui"
"Entire home/apt";95;5;"Non";"Oui"
"Entire home/apt";70;4,78;"Non";"Oui"
"Entire home/apt";68;4,91;"Non";"Non"
"Entire home/apt";140;0;"Non";"Non"
"Entire home/apt";90;5;"Non";"Non"
"Entire home/apt";186;4,98;"Non";"Non"
"Private room";48;1;"Oui";"Non"
"Private room";80;;"Non";"Oui"
"Entire home/apt";119;4,63;"Non";"Non"
"Private room";55;4,66;"Non";"Non"
"Private room";43;5;"Non";"Non"
"Entire home/apt";45;5;"Non";"Non"
